annual_income_k,spending_score,cluster
27.9,97.5,1
51.8,73.5,1
35.0,73.3,1
23.1,75.2,1
21.4,63.0,1
33.9,75.8,1
28.2,73.9,1
35.7,81.2,1
33.8,82.7,1
29.4,95.0,1
23.2,87.6,1
17.9,75.4,1
26.4,72.8,1
36.9,83.9,1
31.7,69.4,1
20.0,94.7,1
31.4,89.4,1
33.1,76.2,1
22.9,66.3,1
31.2,90.8,1
30.5,79.1,1
20.9,89.9,1
74.1,31.1,2
84.0,17.6,2
90.1,32.0,0
90.5,35.8,0
85.5,28.3,2
96.2,40.0,0
79.3,18.8,2
88.6,15.0,2
91.2,10.8,2
95.1,37.0,0
97.1,30.2,0
78.8,24.6,2
74.7,27.2,2
102.8,16.0,0
93.3,44.6,0
82.5,26.0,2
105.5,25.9,0
91.2,30.8,0
101.8,28.8,0
90.7,26.8,0
110.6,18.7,0
107.6,28.8,0
87.5,40.1,0
99.7,35.8,0
96.5,37.7,0
103.7,20.9,0
80.4,17.1,2
96.9,24.0,0
100.6,25.4,0
72.4,33.8,2
78.2,11.5,2
69.6,37.2,2
87.3,23.7,2
97.2,21.6,0
105.0,16.9,0
90.7,11.8,2
106.3,31.6,0
76.2,25.6,2
73.0,14.7,2
89.4,14.6,2
93.8,22.3,0
89.7,38.4,0
69.3,22.9,2
89.1,13.0,2
77.0,23.0,2
96.7,22.8,0
93.7,3.4,2
80.6,24.6,2
84.9,23.2,2
79.4,30.6,2
89.4,39.8,0
99.6,34.0,0
80.1,22.8,2
95.0,16.1,0
84.7,45.6,0
82.1,25.5,2
88.9,25.1,2
79.6,24.8,2
84.5,26.6,2
78.0,23.8,2
109.6,20.4,0
90.4,20.6,2
83.0,24.7,2
92.1,20.7,0
88.9,19.3,2
87.8,25.9,2
96.1,23.0,0
97.6,37.0,0
84.7,3.8,2
84.2,33.7,2
87.2,35.0,0
67.0,8.4,2
74.8,22.3,2
103.7,22.0,0
106.4,13.7,0
87.5,18.8,2
95.8,16.1,0
93.1,39.0,0
120.8,32.5,0
101.2,35.2,0
88.7,30.8,0
80.4,16.0,2
73.9,20.8,2
92.0,28.9,0
82.4,15.2,2
75.8,30.7,2
83.5,23.1,2
79.2,22.0,2
106.9,30.7,0
98.8,28.6,0
89.9,22.1,2
104.8,34.3,0
90.8,16.4,2
81.4,29.9,2
105.2,29.7,0
95.4,22.5,0
79.6,27.6,2
88.1,15.0,2
81.2,32.4,2
76.2,23.5,2
99.3,20.8,0
109.1,33.4,0
76.0,19.4,2
95.6,13.7,0
83.5,12.5,2
85.1,29.8,2
84.1,14.8,2
81.4,39.0,2
90.5,8.3,2
81.7,38.6,2
92.7,26.7,0
89.5,24.2,2
87.6,20.6,2
80.9,28.2,2
84.2,24.7,2
97.6,33.8,0
95.0,25.9,0
80.2,26.2,2
91.0,22.1,0
97.5,24.5,0
73.3,27.5,2
95.4,11.3,0
83.4,14.2,2
95.7,30.9,0
82.4,26.4,2
72.0,23.5,2
73.7,25.1,2
90.5,27.8,0
92.6,20.7,0
81.0,18.8,2
96.4,26.6,0
73.4,17.2,2
89.3,28.3,0
77.9,11.4,2
83.5,33.2,2
90.5,28.8,0
81.4,27.0,2
86.2,32.9,2
100.1,38.3,0
84.2,33.1,2
98.4,10.3,0
78.7,14.8,2
95.3,20.0,0
104.4,25.2,0
65.3,29.1,2
82.0,19.2,2
95.8,26.5,0
88.0,19.0,2
93.7,20.1,0
84.0,13.7,2
90.9,17.6,2
88.4,14.2,2
101.7,17.2,0
92.5,33.4,0
93.4,17.4,0
85.9,46.1,0
85.1,28.9,2
85.7,26.5,2
93.9,18.1,0
85.8,30.6,2
92.9,20.4,0
110.8,26.0,0
98.7,45.5,0
86.7,24.2,2
102.0,34.2,0
85.9,19.4,2
69.6,24.7,2
79.9,39.2,2
71.3,20.0,2
86.5,39.5,0
90.2,30.7,0
106.8,20.5,0
93.3,30.1,0
87.8,32.8,0
98.3,30.0,0
67.9,12.4,2
92.4,19.2,0
97.7,23.0,0
75.2,24.4,2
101.4,30.0,0
93.4,26.4,0
85.8,14.3,2
96.3,28.0,0
112.7,29.9,0
91.8,29.5,0
92.5,33.6,0
85.4,31.7,2
81.5,28.7,2
98.3,24.4,0
81.4,11.7,2
90.7,28.4,0
85.2,26.7,2
94.8,27.2,0
93.3,14.8,0
100.4,16.4,0
84.9,33.4,2
87.3,24.7,2
80.2,30.5,2
85.6,25.2,2
93.8,25.2,0
94.4,96.2,4
79.8,92.4,3
86.0,85.5,3
80.4,79.8,3
80.7,90.6,3
81.9,88.1,3
87.2,92.2,4
80.2,90.1,3
97.6,93.4,4
76.1,80.7,3
83.1,95.5,4
80.6,86.6,3
99.5,100.0,4
87.0,79.5,3
95.3,98.9,4
70.1,86.6,3
87.7,79.8,3
93.9,81.1,4
85.8,82.4,3
95.7,88.4,4
79.8,89.2,3
99.1,80.4,4
108.0,84.8,4
81.4,100.0,4
80.5,98.8,3
99.5,88.5,4
100.8,85.3,4
79.8,86.0,3
80.8,89.9,3
82.2,76.8,3
71.6,82.9,3
75.8,71.7,3
75.0,88.2,3
77.3,90.2,3
84.7,81.1,3
87.3,97.6,4
100.5,75.2,4
75.0,73.3,3
94.8,86.8,4
82.9,93.4,3
84.5,98.5,4
91.7,81.3,4
73.8,93.6,3
88.8,84.7,4
86.7,83.6,3
89.9,92.1,4
87.9,90.2,4
109.6,72.4,4
78.6,96.8,3
79.7,96.0,3
78.8,80.0,3
79.4,88.2,3
78.6,89.0,3
96.9,87.1,4
99.2,80.6,4
79.3,79.6,3
76.7,84.8,3
89.7,94.4,4
79.5,89.3,3
91.3,82.0,4
87.0,91.2,4
69.8,62.2,3
100.5,94.2,4
103.0,71.1,4
78.9,82.1,3
81.1,76.0,3
87.9,74.6,3
88.3,94.3,4
91.6,81.3,4
105.1,87.8,4
83.2,84.6,3
77.0,88.8,3
71.2,85.6,3
77.7,74.7,3
84.7,93.0,4
102.9,81.0,4
79.8,72.5,3
87.2,81.6,3
84.8,97.0,4
96.9,91.8,4
110.3,82.2,4
79.7,82.2,3
80.1,82.4,3
95.4,100.0,4
91.8,88.1,4
103.5,88.4,4
90.8,93.2,4
81.4,86.9,3
90.9,82.9,4
96.1,83.4,4
93.2,84.4,4
90.1,84.7,4
95.7,90.8,4
96.7,85.4,4
98.8,90.9,4
91.5,84.4,4
83.3,85.6,3
86.5,69.0,3
97.1,92.3,4
76.8,87.8,3
88.7,93.0,4
81.1,61.8,3
85.3,100.0,4
97.8,83.9,4
86.9,93.9,4
85.5,76.7,3
71.4,89.9,3
92.5,76.6,4
91.5,80.0,4
106.6,100.0,4
81.9,83.5,3
87.2,86.7,4
87.5,92.0,4
100.8,89.0,4
84.0,86.2,3
87.8,87.9,4
91.1,100.0,4
86.9,84.5,3
80.5,86.6,3
86.9,93.4,4
95.7,93.8,4
74.7,94.5,3
86.3,90.1,4
78.0,75.9,3
97.0,98.1,4
69.8,75.8,3
79.4,87.4,3
88.8,79.0,3
100.7,84.5,4
84.3,87.6,3
79.4,87.6,3
103.8,88.4,4
70.5,97.9,3
63.0,88.6,3
89.4,83.0,4
80.0,92.7,3
74.8,94.5,3
92.1,75.2,4
87.4,89.8,4
79.4,90.6,3
72.2,82.6,3
93.7,96.0,4
91.5,83.8,4
84.0,86.0,3
103.5,83.6,4
74.3,85.1,3
69.7,76.2,3
78.1,73.5,3
84.5,97.8,4
87.4,78.2,3
82.6,77.1,3
88.5,67.8,3
72.5,79.9,3
99.4,74.4,4
84.2,98.1,4
96.2,93.1,4
88.4,79.5,3
89.6,100.0,4
90.7,92.9,4
89.5,82.4,4
91.4,65.0,3
98.3,100.0,4
87.0,73.9,3
92.1,71.8,3
84.1,93.2,4
99.4,100.0,4
78.2,96.1,3
103.0,89.5,4
84.6,89.8,3
70.7,91.8,3
86.3,91.1,4
78.2,87.2,3
93.4,85.8,4
78.5,84.5,3
80.5,79.0,3
66.1,82.8,3
80.5,71.5,3
60.8,84.2,3
69.2,77.1,3
92.6,76.2,4
92.9,86.4,4
89.3,96.1,4
75.3,92.3,3
84.5,72.4,3
85.0,77.1,3
73.4,92.5,3
100.0,77.1,4
93.8,83.2,4
82.8,89.4,3
85.3,77.3,3
87.1,85.8,4
64.6,74.3,3
82.5,80.2,3
78.2,87.6,3
75.0,72.3,3
82.2,88.5,3
103.0,84.8,4
91.4,89.4,4
79.3,86.8,3
90.7,95.9,4
